email,triage,response
Reminder: The client meeting is scheduled at 10:00 tomorrow. Prepare your slides.,respond,"Okay, thanks for the reminder! I'll make sure the slides are ready."
Your invoice of INR 25515.09 is due on 2025-12-12. Please pay to avoid late fees.,notify_human,
Reminder: The client meeting is scheduled at 11:30 tomorrow. Prepare your slides.,respond,Thanks for the reminder! I'll make sure the slides are ready.
"Hello team, please find the attached weekly report and action items for the project.",ignore,
"Hello team, please find the attached weekly report and action items for the project.",ignore,
Your invoice of INR 38766.88 is due on 2025-12-14. Please pay to avoid late fees.,notify_human,
Congratulations! You have been selected as a lucky winner. Claim your prize now by clicking the link.,notify_human,
Your order #6313 has been shipped and is expected to deliver by 2026-01-10.,ignore,
"Dear user, we detected a login from a new device. If this wasn't you, reset your password immediately.",notify_human,
Your invoice of INR 32944.21 is due on 2025-12-24. Please pay to avoid late fees.,notify_human,
Reminder: The client meeting is scheduled at 15:30 tomorrow. Prepare your slides.,respond,You have a client meeting at 3 PM today.
